Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,User_Score,Success_Category,Critic_Category,User_Category,NA_Ratio,EU_Ratio,JP_Ratio,Cluster
Gears of War 4,XOne,2016,Shooter,Microsoft Game Studios,0.78,0.44,0.0,0.12,1.35,84.0,6.2,Moderate,Good,Average,0.5777777777777777,0.3259259259259259,0.0,3
Tom Clancy's Rainbow Six: Siege,XOne,2015,Shooter,Ubisoft,0.77,0.45,0.0,0.12,1.34,74.0,6.9,Moderate,Average,Average,0.5746268656716418,0.33582089552238803,0.0,3
Skylanders SWAP Force,X360,2013,Platform,Activision,0.86,0.34,0.0,0.12,1.32,83.0,5.7,Moderate,Good,Average,0.6515151515151515,0.25757575757575757,0.0,3
The Witcher 3: Wild Hunt,XOne,2015,Role-Playing,Namco Bandai Games,0.69,0.5,0.0,0.11,1.31,91.0,9.2,Moderate,Excellent,Excellent,0.5267175572519084,0.38167938931297707,0.0,3
Yoshi's Woolly World,WiiU,2015,Platform,Nintendo,0.62,0.47,0.11,0.1,1.3,78.0,8.5,Moderate,Good,Good,0.4769230769230769,0.36153846153846153,0.0846153846153846,3
Assassin's Creed Syndicate,XOne,2015,Action,Ubisoft,0.62,0.56,0.0,0.11,1.3,78.0,6.1,Moderate,Good,Average,0.4769230769230769,0.4307692307692308,0.0,3
Dying Light,XOne,2015,Action,Warner Bros. Interactive Entertainment,0.86,0.3,0.01,0.12,1.29,74.0,7.8,Moderate,Average,Good,0.6666666666666666,0.23255813953488372,0.007751937984496124,3
Fallout 4,PC,2015,Role-Playing,Bethesda Softworks,0.51,0.67,0.0,0.1,1.29,84.0,5.4,Moderate,Good,Average,0.3953488372093023,0.5193798449612403,0.0,3
Assassin's Creed: Rogue,PS3,2014,Action,Ubisoft,0.46,0.56,0.06,0.2,1.29,72.0,7.5,Moderate,Average,Good,0.35658914728682173,0.434108527131783,0.046511627906976744,3
The Elder Scrolls Online,XOne,2015,Role-Playing,Bethesda Softworks,0.78,0.38,0.0,0.12,1.28,77.0,8.4,Moderate,Good,Good,0.609375,0.296875,0.0,3
The LEGO Movie Videogame,X360,2014,Action,Warner Bros. Interactive Entertainment,0.69,0.47,0.0,0.11,1.27,69.0,7.2,Moderate,Average,Good,0.5433070866141732,0.37007874015748027,0.0,3
Dark Souls II,PS3,2014,Role-Playing,Namco Bandai Games,0.4,0.33,0.4,0.15,1.27,91.0,8.1,Moderate,Excellent,Good,0.31496062992125984,0.25984251968503935,0.31496062992125984,3
Metal Gear Solid V: Ground Zeroes,PS4,2014,Action,Konami Digital Entertainment,0.45,0.47,0.17,0.18,1.27,75.0,6.2,Moderate,Average,Average,0.3543307086614173,0.37007874015748027,0.13385826771653545,3
Final Fantasy X / X-2 HD Remaster,PS3,2013,Role-Playing,Square Enix,0.43,0.36,0.32,0.16,1.27,85.0,8.5,Moderate,Good,Good,0.33858267716535434,0.28346456692913385,0.25196850393700787,3
Need for Speed Rivals,PS3,2013,Racing,Electronic Arts,0.33,0.69,0.05,0.19,1.27,80.0,4.9,Moderate,Good,Poor,0.25984251968503935,0.5433070866141732,0.03937007874015748,1
Saints Row IV,PS3,2013,Action,Deep Silver,0.56,0.41,0.09,0.19,1.25,76.0,6.3,Moderate,Good,Average,0.44800000000000006,0.32799999999999996,0.072,3
Pokemon Super Mystery Dungeon,3DS,2015,Role-Playing,Nintendo,0.48,0.35,0.34,0.08,1.25,69.0,8.8,Moderate,Average,Excellent,0.384,0.27999999999999997,0.272,3
Madden NFL 17,XOne,2016,Sports,Electronic Arts,1.08,0.02,0.0,0.13,1.23,83.0,5.9,Moderate,Good,Average,0.878048780487805,0.016260162601626018,0.0,3
Hyrule Warriors,WiiU,2014,Action,Nintendo,0.58,0.42,0.13,0.1,1.23,76.0,8.3,Moderate,Good,Good,0.47154471544715443,0.3414634146341463,0.10569105691056911,3
WWE 2K16,PS4,2015,Sports,Take-Two Interactive,0.41,0.6,0.0,0.2,1.21,73.0,7.4,Moderate,Average,Good,0.33884297520661155,0.49586776859504134,0.0,3
Battlefield: Hardline,XOne,2015,Shooter,Electronic Arts,0.72,0.37,0.01,0.11,1.21,71.0,5.1,Moderate,Average,Average,0.5950413223140496,0.30578512396694213,0.008264462809917356,3
Captain Toad: Treasure Tracker,WiiU,2014,Puzzle,Nintendo,0.53,0.38,0.19,0.09,1.19,81.0,8.6,Moderate,Good,Excellent,0.44537815126050423,0.319327731092437,0.1596638655462185,3
Destiny: The Taken King,XOne,2015,Shooter,Activision,0.85,0.23,0.0,0.12,1.19,89.0,5.2,Moderate,Excellent,Average,0.7142857142857143,0.19327731092436976,0.0,3
Injustice: Gods Among Us,PS3,2013,Fighting,Warner Bros. Interactive Entertainment,0.48,0.5,0.01,0.2,1.18,78.0,7.9,Moderate,Good,Good,0.4067796610169492,0.42372881355932207,0.00847457627118644,3
Grand Theft Auto V,PC,2015,Action,Take-Two Interactive,0.39,0.69,0.0,0.09,1.17,96.0,7.9,Moderate,Excellent,Good,0.33333333333333337,0.5897435897435898,0.0,3
FIFA 14,XOne,2013,Sports,Electronic Arts,0.41,0.66,0.0,0.09,1.16,88.0,5.8,Moderate,Excellent,Average,0.35344827586206895,0.5689655172413793,0.0,3
WWE 2K15,PS4,2014,Sports,Take-Two Interactive,0.39,0.57,0.0,0.19,1.15,62.0,5.1,Moderate,Average,Average,0.33913043478260874,0.49565217391304345,0.0,2
WWE 2K14,PS3,2013,Sports,Take-Two Interactive,0.49,0.46,0.0,0.19,1.14,74.0,7.5,Moderate,Average,Good,0.4298245614035088,0.4035087719298246,0.0,3
Sunset Overdrive,XOne,2014,Shooter,Microsoft Game Studios,0.63,0.4,0.0,0.1,1.14,81.0,7.7,Moderate,Good,Good,0.5526315789473685,0.3508771929824562,0.0,3
Naruto Shippuden: Ultimate Ninja Storm 4,PS4,2016,Fighting,Namco Bandai Games,0.41,0.45,0.11,0.17,1.14,79.0,8.2,Moderate,Good,Good,0.35964912280701755,0.3947368421052632,0.09649122807017545,3
Watch Dogs 2,PS4,2016,Action,Ubisoft,0.37,0.58,0.0,0.18,1.13,83.0,7.8,Moderate,Good,Good,0.3274336283185841,0.5132743362831859,0.0,3
Alien: Isolation,PS4,2014,Shooter,Sega,0.34,0.57,0.04,0.17,1.13,79.0,8.1,Moderate,Good,Good,0.3008849557522124,0.504424778761062,0.03539823008849558,3
The Legend of Zelda: Tri Force Heroes,3DS,2015,Action,Nintendo,0.53,0.33,0.17,0.08,1.12,73.0,7.6,Moderate,Average,Good,0.4732142857142857,0.29464285714285715,0.15178571428571427,3
Pikmin 3,WiiU,2013,Strategy,Nintendo,0.44,0.32,0.29,0.07,1.11,87.0,8.7,Moderate,Excellent,Excellent,0.39639639639639634,0.2882882882882883,0.2612612612612612,3
WWE 2K14,X360,2013,Sports,Take-Two Interactive,0.64,0.37,0.0,0.1,1.11,75.0,7.7,Moderate,Average,Good,0.5765765765765766,0.3333333333333333,0.0,3
Dragon Ball: XenoVerse,PS4,2015,Fighting,Namco Bandai Games,0.3,0.52,0.12,0.16,1.11,69.0,7.7,Moderate,Average,Good,0.27027027027027023,0.46846846846846846,0.1081081081081081,3
LEGO City Undercover,WiiU,2013,Platform,Nintendo,0.47,0.42,0.13,0.08,1.1,80.0,8.2,Moderate,Good,Good,0.4272727272727272,0.3818181818181818,0.11818181818181818,3
NCAA Football 14,X360,2013,Sports,Electronic Arts,1.01,0.0,0.0,0.08,1.09,77.0,5.8,Moderate,Good,Average,0.9266055045871558,0.0,0.0,3
Project CARS,PS4,2015,Racing,Slightly Mad Studios,0.2,0.7,0.02,0.16,1.09,83.0,6.6,Moderate,Good,Average,0.1834862385321101,0.6422018348623852,0.018348623853211007,1
Forza Horizon 3,XOne,2016,Racing,Microsoft Game Studios,0.42,0.58,0.0,0.08,1.08,91.0,7.4,Moderate,Excellent,Good,0.38888888888888884,0.537037037037037,0.0,3
Plants vs. Zombies: Garden Warfare,X360,2014,Shooter,Electronic Arts,0.51,0.47,0.0,0.09,1.08,69.0,7.3,Moderate,Average,Good,0.4722222222222222,0.4351851851851851,0.0,3
Lightning Returns: Final Fantasy XIII,PS3,2013,Role-Playing,Square Enix,0.31,0.2,0.45,0.11,1.07,66.0,5.9,Moderate,Average,Average,0.2897196261682243,0.18691588785046728,0.4205607476635514,0
Overwatch,XOne,2016,Shooter,Activision,0.63,0.33,0.0,0.1,1.06,91.0,5.6,Moderate,Excellent,Average,0.5943396226415094,0.3113207547169811,0.0,3
EA Sports UFC,PS4,2014,Sports,Electronic Arts,0.46,0.41,0.01,0.17,1.05,70.0,6.1,Moderate,Average,Average,0.4380952380952381,0.3904761904761904,0.009523809523809523,3
The Legend of Zelda: Twilight Princess HD,WiiU,2016,Action,Nintendo,0.56,0.3,0.08,0.09,1.03,86.0,8.4,Moderate,Excellent,Good,0.5436893203883496,0.2912621359223301,0.07766990291262135,3
NBA 2K17,XOne,2016,Sports,Take-Two Interactive,0.86,0.06,0.0,0.11,1.02,90.0,6.2,Moderate,Excellent,Average,0.8431372549019608,0.058823529411764705,0.0,3
Skylanders SWAP Force,PS3,2013,Platform,Activision,0.43,0.42,0.0,0.17,1.02,83.0,5.3,Moderate,Good,Average,0.4215686274509804,0.4117647058823529,0.0,3
Assassin's Creed: Rogue,X360,2014,Action,Ubisoft,0.58,0.34,0.0,0.09,1.01,72.0,7.3,Moderate,Average,Good,0.5742574257425742,0.33663366336633666,0.0,3
Rayman Legends,PS4,2014,Platform,Ubisoft,0.22,0.64,0.0,0.16,1.01,90.0,8.5,Moderate,Excellent,Good,0.21782178217821782,0.6336633663366337,0.0,1
Pokken Tournament,WiiU,2016,Fighting,Namco Bandai Games,0.5,0.26,0.17,0.08,1.01,76.0,8.0,Moderate,Good,Good,0.49504950495049505,0.25742574257425743,0.16831683168316833,3
Just Dance 2014,X360,2013,Misc,Ubisoft,0.72,0.17,0.0,0.1,0.99,79.0,7.8,Low,Good,Good,0.7272727272727273,0.17171717171717174,0.0,3
Dead Space 3,X360,2013,Action,Electronic Arts,0.64,0.26,0.0,0.08,0.98,78.0,6.4,Low,Good,Average,0.653061224489796,0.2653061224489796,0.0,3
Tom Clancy's Splinter Cell: Blacklist,X360,2013,Action,Ubisoft,0.57,0.32,0.01,0.08,0.98,82.0,7.5,Low,Good,Good,0.5816326530612245,0.326530612244898,0.010204081632653062,3
Disney Infinity,PS3,2013,Action,Disney Interactive Studios,0.49,0.32,0.0,0.16,0.97,75.0,5.9,Low,Average,Average,0.5051546391752577,0.32989690721649484,0.0,3
Evolve,PS4,2015,Shooter,Take-Two Interactive,0.36,0.41,0.05,0.15,0.96,76.0,4.3,Low,Good,Poor,0.375,0.4270833333333333,0.052083333333333336,2
Dead Space 3,PS3,2013,Action,Electronic Arts,0.44,0.36,0.0,0.16,0.96,76.0,6.4,Low,Good,Average,0.45833333333333337,0.375,0.0,3
Pro Evolution Soccer 2014,PS3,2013,Action,Konami Digital Entertainment,0.03,0.41,0.51,0.0,0.95,78.0,4.1,Low,Good,Poor,0.031578947368421054,0.43157894736842106,0.5368421052631579,0
Tom Clancy's Splinter Cell: Blacklist,PS3,2013,Action,Ubisoft,0.34,0.39,0.06,0.15,0.94,84.0,7.7,Low,Good,Good,0.3617021276595745,0.41489361702127664,0.06382978723404255,3
Naruto Shippuden: Ultimate Ninja Storm 3,PS3,2013,Fighting,Namco Bandai Games,0.32,0.32,0.15,0.15,0.93,77.0,7.9,Low,Good,Good,0.3440860215053763,0.3440860215053763,0.16129032258064516,3
EA Sports UFC 2,PS4,2016,Sports,Electronic Arts,0.29,0.49,0.0,0.15,0.93,79.0,6.2,Low,Good,Average,0.31182795698924726,0.5268817204301075,0.0,3
Dragon Age: Inquisition,XOne,2014,Role-Playing,Electronic Arts,0.56,0.28,0.0,0.09,0.93,85.0,6.9,Low,Good,Average,0.6021505376344086,0.3010752688172043,0.0,3
Kirby: Planet Robobot,3DS,2016,Action,Nintendo,0.28,0.14,0.47,0.04,0.93,81.0,8.7,Low,Good,Excellent,0.3010752688172043,0.15053763440860216,0.5053763440860215,0
Lego Batman 3: Beyond Gotham,PS4,2014,Action,Warner Bros. Interactive Entertainment,0.37,0.4,0.0,0.15,0.93,73.0,7.1,Low,Average,Good,0.3978494623655914,0.43010752688172044,0.0,3
The LEGO Movie Videogame,PS3,2014,Action,Warner Bros. Interactive Entertainment,0.33,0.43,0.02,0.15,0.93,80.0,6.8,Low,Good,Average,0.3548387096774194,0.46236559139784944,0.02150537634408602,3
Disney Magical World,3DS,2013,Adventure,Nintendo,0.17,0.2,0.53,0.03,0.92,71.0,7.5,Low,Average,Good,0.1847826086956522,0.21739130434782608,0.5760869565217391,0
MLB 15: The Show,PS4,2015,Sports,Sony Computer Entertainment,0.68,0.08,0.0,0.17,0.92,80.0,7.8,Low,Good,Good,0.7391304347826088,0.08695652173913043,0.0,3
South Park: The Stick of Truth,PS3,2014,Role-Playing,Ubisoft,0.43,0.34,0.0,0.16,0.92,85.0,8.5,Low,Good,Good,0.46739130434782605,0.3695652173913044,0.0,3
South Park: The Stick of Truth,X360,2014,Role-Playing,Ubisoft,0.58,0.26,0.0,0.09,0.92,82.0,8.4,Low,Good,Good,0.6304347826086956,0.2826086956521739,0.0,3
NBA 2K14,XOne,2013,Sports,Take-Two Interactive,0.7,0.11,0.0,0.09,0.91,86.0,5.7,Low,Excellent,Average,0.7692307692307692,0.12087912087912088,0.0,3
Street Fighter V,PS4,2016,Fighting,Capcom,0.4,0.28,0.08,0.14,0.9,77.0,3.4,Low,Good,Poor,0.4444444444444445,0.3111111111111111,0.08888888888888889,2
Just Cause 3,XOne,2015,Action,Square Enix,0.44,0.39,0.0,0.08,0.9,71.0,7.0,Low,Average,Average,0.4888888888888889,0.43333333333333335,0.0,3
Crysis 3,X360,2013,Shooter,Electronic Arts,0.51,0.31,0.01,0.08,0.9,76.0,6.7,Low,Good,Average,0.5666666666666667,0.34444444444444444,0.011111111111111112,3
LEGO Jurassic World,PS4,2015,Action,Warner Bros. Interactive Entertainment,0.32,0.42,0.02,0.14,0.9,70.0,7.0,Low,Average,Average,0.35555555555555557,0.4666666666666666,0.022222222222222223,3
The Elder Scrolls Online,PC,2014,Role-Playing,Bethesda Softworks,0.32,0.51,0.0,0.07,0.9,71.0,5.7,Low,Average,Average,0.35555555555555557,0.5666666666666667,0.0,1
Madden NFL 25,PS4,2013,Sports,Electronic Arts,0.63,0.13,0.0,0.15,0.9,74.0,5.2,Low,Average,Average,0.7,0.14444444444444446,0.0,3
LEGO Marvel Super Heroes,3DS,2013,Action,Warner Bros. Interactive Entertainment,0.42,0.36,0.04,0.07,0.9,61.0,5.2,Low,Average,Average,0.4666666666666666,0.39999999999999997,0.044444444444444446,2
Far Cry: Primal,XOne,2016,Action,Ubisoft,0.47,0.33,0.0,0.08,0.88,77.0,6.4,Low,Good,Average,0.5340909090909091,0.375,0.0,3
Borderlands: The Handsome Collection,PS4,2015,Shooter,Take-Two Interactive,0.38,0.33,0.03,0.14,0.88,82.0,7.8,Low,Good,Good,0.4318181818181818,0.375,0.03409090909090909,3
Crysis 3,PS3,2013,Shooter,Electronic Arts,0.26,0.42,0.03,0.16,0.87,77.0,6.3,Low,Good,Average,0.2988505747126437,0.48275862068965514,0.034482758620689655,3
Guitar Hero Live,PS4,2015,Misc,Activision,0.34,0.38,0.0,0.14,0.86,80.0,6.2,Low,Good,Average,0.39534883720930236,0.4418604651162791,0.0,3
Wii Fit U,WiiU,2013,Sports,Nintendo,0.35,0.23,0.21,0.05,0.85,72.0,7.7,Low,Average,Good,0.4117647058823529,0.2705882352941177,0.24705882352941178,3
Xenoblade Chronicles X,WiiU,2015,Role-Playing,Nintendo,0.36,0.28,0.14,0.06,0.84,84.0,8.9,Low,Good,Excellent,0.42857142857142855,0.33333333333333337,0.16666666666666669,3
NCAA Football 14,PS3,2013,Sports,Electronic Arts,0.75,0.0,0.0,0.09,0.84,77.0,6.2,Low,Good,Average,0.8928571428571429,0.0,0.0,3
Madden NFL 25,XOne,2013,Sports,Electronic Arts,0.67,0.05,0.0,0.08,0.81,73.0,5.9,Low,Average,Average,0.8271604938271605,0.06172839506172839,0.0,3
Killzone: Mercenary,PSV,2013,Shooter,Sony Computer Entertainment Europe,0.2,0.39,0.04,0.17,0.8,78.0,8.9,Low,Good,Excellent,0.25,0.4875,0.049999999999999996,3
Final Fantasy X / X-2 HD Remaster,PSV,2013,Role-Playing,Square Enix,0.16,0.24,0.28,0.12,0.8,86.0,8.5,Low,Excellent,Good,0.19999999999999998,0.3,0.35000000000000003,0
DmC: Devil May Cry,PS3,2013,Action,Capcom,0.24,0.26,0.19,0.1,0.79,85.0,5.3,Low,Good,Average,0.30379746835443033,0.3291139240506329,0.24050632911392406,3
Need for Speed Rivals,X360,2013,Racing,Electronic Arts,0.37,0.35,0.01,0.07,0.79,76.0,5.4,Low,Good,Average,0.46835443037974683,0.4430379746835443,0.012658227848101266,3
Pro Evolution Soccer 2016,PS4,2015,Sports,Konami Digital Entertainment,0.13,0.42,0.13,0.1,0.79,87.0,7.1,Low,Excellent,Good,0.16455696202531644,0.5316455696202531,0.16455696202531644,1
Rare Replay,XOne,2015,Misc,Microsoft Game Studios,0.49,0.22,0.01,0.07,0.79,84.0,7.7,Low,Good,Good,0.620253164556962,0.27848101265822783,0.012658227848101266,3
WWE 2K15,PS3,2014,Sports,Take-Two Interactive,0.36,0.29,0.0,0.13,0.78,55.0,3.1,Low,Poor,Poor,0.4615384615384615,0.37179487179487175,0.0,2
Dead Island: Riptide,X360,2013,Action,Deep Silver,0.44,0.26,0.01,0.07,0.78,57.0,6.3,Low,Poor,Average,0.5641025641025641,0.3333333333333333,0.01282051282051282,2
Aliens: Colonial Marines,X360,2013,Shooter,Sega,0.36,0.34,0.0,0.07,0.77,48.0,3.8,Low,Poor,Poor,0.4675324675324675,0.4415584415584416,0.0,2
Bayonetta 2,WiiU,2014,Action,Nintendo,0.32,0.28,0.1,0.06,0.76,91.0,8.2,Low,Excellent,Good,0.42105263157894735,0.368421052631579,0.13157894736842105,3
Professor Layton and the Azran Legacy,3DS,2013,Puzzle,Nintendo,0.0,0.48,0.25,0.03,0.75,81.0,7.9,Low,Good,Good,0.0,0.64,0.3333333333333333,1
Titanfall 2,PS4,2016,Shooter,Electronic Arts,0.34,0.25,0.05,0.12,0.75,89.0,8.4,Low,Excellent,Good,0.45333333333333337,0.3333333333333333,0.06666666666666667,3
Metal Gear Solid V: The Phantom Pain,XOne,2015,Action,Konami Digital Entertainment,0.41,0.26,0.01,0.07,0.75,95.0,7.3,Low,Excellent,Good,0.5466666666666666,0.3466666666666667,0.013333333333333334,3
Pro Evolution Soccer 2015,PS4,2014,Sports,Konami Digital Entertainment,0.09,0.45,0.11,0.1,0.75,82.0,7.2,Low,Good,Good,0.12,0.6,0.14666666666666667,1
Dark Souls II,X360,2014,Role-Playing,Namco Bandai Games,0.48,0.18,0.01,0.07,0.74,91.0,7.9,Low,Excellent,Good,0.6486486486486487,0.24324324324324323,0.013513513513513514,3
Resident Evil: Revelations,PS3,2013,Action,Capcom,0.14,0.29,0.22,0.09,0.74,74.0,7.2,Low,Average,Good,0.1891891891891892,0.3918918918918919,0.2972972972972973,3
MLB 13: The Show,PS3,2013,Sports,Sony Computer Entertainment,0.67,0.0,0.0,0.07,0.74,87.0,7.8,Low,Excellent,Good,0.9054054054054055,0.0,0.0,3
LEGO Marvel Super Heroes,WiiU,2013,Action,Warner Bros. Interactive Entertainment,0.31,0.35,0.02,0.06,0.74,82.0,8.0,Low,Good,Good,0.4189189189189189,0.47297297297297297,0.02702702702702703,3
Dragon Age: Inquisition,PC,2014,Role-Playing,Electronic Arts,0.33,0.34,0.0,0.06,0.73,85.0,5.9,Low,Good,Average,0.452054794520548,0.4657534246575343,0.0,3
LEGO Marvel's Avengers,PS4,2016,Action,Warner Bros. Interactive Entertainment,0.26,0.35,0.0,0.12,0.73,71.0,7.0,Low,Average,Average,0.35616438356164387,0.4794520547945205,0.0,3
Just Dance 2015,WiiU,2014,Misc,Ubisoft,0.38,0.29,0.0,0.06,0.73,75.0,6.6,Low,Average,Average,0.5205479452054794,0.3972602739726027,0.0,3
LEGO Dimensions,PS4,2015,Action,Warner Bros. Interactive Entertainment,0.24,0.37,0.0,0.12,0.73,80.0,7.1,Low,Good,Good,0.3287671232876712,0.5068493150684932,0.0,3
Total War: Rome II,PC,2013,Strategy,Sega,0.12,0.53,0.0,0.07,0.72,76.0,4.2,Low,Good,Poor,0.16666666666666666,0.7361111111111112,0.0,1
Persona Q: Shadow of the Labyrinth,3DS,2014,Role-Playing,Nippon Ichi Software,0.34,0.07,0.27,0.04,0.72,83.0,8.1,Low,Good,Good,0.47222222222222227,0.09722222222222224,0.37500000000000006,3
MLB 14: The Show,PS4,2014,Sports,Sony Computer Entertainment America,0.58,0.0,0.0,0.14,0.72,83.0,7.7,Low,Good,Good,0.8055555555555556,0.0,0.0,3
Borderlands: The Pre-Sequel,X360,2014,Shooter,Take-Two Interactive,0.46,0.19,0.01,0.07,0.72,74.0,6.4,Low,Average,Average,0.638888888888889,0.2638888888888889,0.01388888888888889,3
The Witcher 3: Wild Hunt,PC,2015,Role-Playing,Namco Bandai Games,0.21,0.46,0.0,0.05,0.72,93.0,9.3,Low,Excellent,Excellent,0.2916666666666667,0.638888888888889,0.0,3
Dragon Ball: Xenoverse 2,PS4,2016,Action,Namco Bandai Games,0.24,0.27,0.09,0.1,0.71,73.0,7.8,Low,Average,Good,0.3380281690140845,0.3802816901408451,0.1267605633802817,3
Skylanders: Trap Team,WiiU,2014,Action,Activision,0.38,0.26,0.0,0.06,0.7,86.0,7.1,Low,Excellent,Good,0.5428571428571429,0.37142857142857144,0.0,3
Lego Star Wars: The Force Awakens,PS4,2016,Action,Warner Bros. Interactive Entertainment,0.16,0.43,0.01,0.11,0.7,78.0,7.5,Low,Good,Good,0.2285714285714286,0.6142857142857143,0.014285714285714287,1
Plants vs. Zombies: Garden Warfare,XOne,2014,Shooter,Electronic Arts,0.39,0.23,0.0,0.06,0.69,76.0,7.4,Low,Good,Good,0.5652173913043479,0.33333333333333337,0.0,3
Need for Speed Rivals,XOne,2013,Racing,Electronic Arts,0.46,0.17,0.0,0.07,0.69,75.0,5.8,Low,Average,Average,0.6666666666666667,0.24637681159420294,0.0,3
Sniper Elite 3,PS4,2014,Shooter,505 Games,0.24,0.34,0.0,0.11,0.68,67.0,7.1,Low,Average,Good,0.3529411764705882,0.5,0.0,3
Wolfenstein: The New Order,XOne,2014,Shooter,Bethesda Softworks,0.34,0.28,0.0,0.06,0.68,79.0,7.8,Low,Good,Good,0.5,0.411764705882353,0.0,3
The Evil Within,XOne,2014,Action,Bethesda Softworks,0.35,0.25,0.0,0.06,0.67,79.0,7.3,Low,Good,Good,0.5223880597014925,0.3731343283582089,0.0,3
The LEGO Movie Videogame,PS4,2014,Action,Warner Bros. Interactive Entertainment,0.24,0.31,0.01,0.11,0.67,71.0,7.1,Low,Average,Good,0.3582089552238806,0.46268656716417905,0.014925373134328358,3
Terraria,X360,2013,Action,505 Games,0.35,0.27,0.0,0.06,0.67,81.0,7.2,Low,Good,Good,0.5223880597014925,0.40298507462686567,0.0,3
F1 2015,PS4,2015,Racing,Codemasters,0.09,0.45,0.03,0.1,0.66,65.0,6.3,Low,Average,Average,0.13636363636363635,0.6818181818181818,0.04545454545454545,1
Rayman Legends,WiiU,2013,Platform,Ubisoft,0.25,0.33,0.03,0.05,0.66,92.0,8.7,Low,Excellent,Excellent,0.3787878787878788,0.5,0.04545454545454545,3
BioShock Infinite,PC,2013,Shooter,Take-Two Interactive,0.29,0.3,0.0,0.07,0.66,94.0,8.5,Low,Excellent,Good,0.43939393939393934,0.45454545454545453,0.0,3
One Piece: Pirate Warriors 2,PS3,2013,Action,Namco Bandai Games,0.0,0.19,0.42,0.05,0.66,71.0,7.8,Low,Average,Good,0.0,0.28787878787878785,0.6363636363636364,0
LEGO Jurassic World,XOne,2015,Action,Warner Bros. Interactive Entertainment,0.38,0.22,0.0,0.06,0.65,70.0,6.7,Low,Average,Average,0.5846153846153846,0.3384615384615384,0.0,3
Freedom Wars,PSV,2014,Role-Playing,Sony Computer Entertainment,0.15,0.1,0.32,0.08,0.65,73.0,8.3,Low,Average,Good,0.23076923076923075,0.15384615384615385,0.4923076923076923,0
Farming Simulator 17,PC,2016,Simulation,Focus Home Interactive,0.03,0.58,0.0,0.04,0.65,64.0,8.0,Low,Average,Good,0.04615384615384615,0.8923076923076922,0.0,1
Borderlands 2,PSV,2014,Shooter,Take-Two Interactive,0.32,0.16,0.01,0.15,0.64,64.0,7.6,Low,Average,Good,0.5,0.25,0.015625,3
Assassin's Creed IV: Black Flag,PC,2013,Action,Ubisoft,0.22,0.38,0.0,0.05,0.64,84.0,7.7,Low,Good,Good,0.34375,0.59375,0.0,3
The LEGO Movie Videogame,WiiU,2014,Action,Warner Bros. Interactive Entertainment,0.33,0.23,0.03,0.05,0.64,68.0,7.7,Low,Average,Good,0.515625,0.359375,0.046875,3
WWE 2K15,X360,2014,Sports,Take-Two Interactive,0.38,0.2,0.0,0.06,0.64,50.0,4.0,Low,Poor,Poor,0.59375,0.3125,0.0,2
Football Manager 2014,PC,2013,Sports,Sega,0.0,0.6,0.0,0.03,0.64,85.0,5.5,Low,Good,Average,0.0,0.9375,0.0,1
Dishonored 2,PS4,2016,Action,Bethesda Softworks,0.22,0.32,0.0,0.1,0.64,88.0,7.7,Low,Excellent,Good,0.34375,0.5,0.0,3
The Crew,XOne,2014,Racing,Ubisoft,0.25,0.34,0.0,0.05,0.64,64.0,5.9,Low,Average,Average,0.390625,0.53125,0.0,2
Evolve,XOne,2015,Shooter,Take-Two Interactive,0.37,0.2,0.0,0.06,0.64,74.0,5.1,Low,Average,Average,0.578125,0.3125,0.0,3
Far Cry 4,PC,2014,Shooter,Ubisoft,0.15,0.44,0.0,0.04,0.63,80.0,6.7,Low,Good,Average,0.23809523809523808,0.6984126984126984,0.0,1
The Walking Dead: Survival Instinct,X360,2013,Shooter,Activision,0.46,0.11,0.0,0.05,0.63,32.0,4.0,Low,Poor,Poor,0.7301587301587302,0.1746031746031746,0.0,2
Crysis 3,PC,2013,Shooter,Electronic Arts,0.17,0.39,0.0,0.07,0.63,76.0,6.5,Low,Good,Average,0.2698412698412699,0.6190476190476191,0.0,1
NHL 16,PS4,2015,Sports,Electronic Arts,0.36,0.16,0.0,0.11,0.63,78.0,5.5,Low,Good,Average,0.5714285714285714,0.25396825396825395,0.0,3
Mafia III,XOne,2016,Action,Take-Two Interactive,0.28,0.29,0.0,0.05,0.62,67.0,4.6,Low,Average,Poor,0.4516129032258065,0.46774193548387094,0.0,2
2014 FIFA World Cup Brazil,PS3,2014,Sports,Electronic Arts,0.15,0.36,0.01,0.09,0.61,73.0,4.3,Low,Average,Poor,0.2459016393442623,0.5901639344262295,0.01639344262295082,1
Plants vs. Zombies: Garden Warfare,PS4,2014,Shooter,Electronic Arts,0.21,0.29,0.01,0.1,0.61,75.0,7.6,Low,Average,Good,0.3442622950819672,0.47540983606557374,0.01639344262295082,3
Tearaway,PSV,2013,Adventure,Sony Computer Entertainment Europe,0.14,0.34,0.0,0.14,0.61,87.0,8.9,Low,Excellent,Excellent,0.2295081967213115,0.5573770491803279,0.0,1
Borderlands: The Pre-Sequel,PS3,2014,Shooter,Take-Two Interactive,0.26,0.21,0.05,0.1,0.61,77.0,6.3,Low,Good,Average,0.42622950819672134,0.3442622950819672,0.0819672131147541,3
