Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,User_Score,Cluster,Cluster_Label
Rayman Legends,PS4,2014,Platform,Ubisoft,0.22,0.64,0.0,0.16,1.01,90.0,8.5,3,Moderate / Mid-Tier
Pokken Tournament,WiiU,2016,Fighting,Namco Bandai Games,0.5,0.26,0.17,0.08,1.01,76.0,8.0,3,Moderate / Mid-Tier
Just Dance 2014,X360,2013,Misc,Ubisoft,0.72,0.17,0.0,0.1,0.99,79.0,7.8,3,Moderate / Mid-Tier
Dead Space 3,X360,2013,Action,Electronic Arts,0.64,0.26,0.0,0.08,0.98,78.0,6.4,3,Moderate / Mid-Tier
Tom Clancy's Splinter Cell: Blacklist,X360,2013,Action,Ubisoft,0.57,0.32,0.01,0.08,0.98,82.0,7.5,3,Moderate / Mid-Tier
Disney Infinity,PS3,2013,Action,Disney Interactive Studios,0.49,0.32,0.0,0.16,0.97,75.0,5.9,3,Moderate / Mid-Tier
Evolve,PS4,2015,Shooter,Take-Two Interactive,0.36,0.41,0.05,0.15,0.96,76.0,4.3,3,Moderate / Mid-Tier
Dead Space 3,PS3,2013,Action,Electronic Arts,0.44,0.36,0.0,0.16,0.96,76.0,6.4,3,Moderate / Mid-Tier
Pro Evolution Soccer 2014,PS3,2013,Action,Konami Digital Entertainment,0.03,0.41,0.51,0.0,0.95,78.0,4.1,2,High Sales / Hit
Tom Clancy's Splinter Cell: Blacklist,PS3,2013,Action,Ubisoft,0.34,0.39,0.06,0.15,0.94,84.0,7.7,3,Moderate / Mid-Tier
Naruto Shippuden: Ultimate Ninja Storm 3,PS3,2013,Fighting,Namco Bandai Games,0.32,0.32,0.15,0.15,0.93,77.0,7.9,3,Moderate / Mid-Tier
EA Sports UFC 2,PS4,2016,Sports,Electronic Arts,0.29,0.49,0.0,0.15,0.93,79.0,6.2,3,Moderate / Mid-Tier
Dragon Age: Inquisition,XOne,2014,Role-Playing,Electronic Arts,0.56,0.28,0.0,0.09,0.93,85.0,6.9,3,Moderate / Mid-Tier
Kirby: Planet Robobot,3DS,2016,Action,Nintendo,0.28,0.14,0.47,0.04,0.93,81.0,8.7,2,High Sales / Hit
Lego Batman 3: Beyond Gotham,PS4,2014,Action,Warner Bros. Interactive Entertainment,0.37,0.4,0.0,0.15,0.93,73.0,7.1,3,Moderate / Mid-Tier
The LEGO Movie Videogame,PS3,2014,Action,Warner Bros. Interactive Entertainment,0.33,0.43,0.02,0.15,0.93,80.0,6.8,3,Moderate / Mid-Tier
Disney Magical World,3DS,2013,Adventure,Nintendo,0.17,0.2,0.53,0.03,0.92,71.0,7.5,2,High Sales / Hit
MLB 15: The Show,PS4,2015,Sports,Sony Computer Entertainment,0.68,0.08,0.0,0.17,0.92,80.0,7.8,3,Moderate / Mid-Tier
South Park: The Stick of Truth,PS3,2014,Role-Playing,Ubisoft,0.43,0.34,0.0,0.16,0.92,85.0,8.5,3,Moderate / Mid-Tier
South Park: The Stick of Truth,X360,2014,Role-Playing,Ubisoft,0.58,0.26,0.0,0.09,0.92,82.0,8.4,3,Moderate / Mid-Tier
NBA 2K14,XOne,2013,Sports,Take-Two Interactive,0.7,0.11,0.0,0.09,0.91,86.0,5.7,3,Moderate / Mid-Tier
Street Fighter V,PS4,2016,Fighting,Capcom,0.4,0.28,0.08,0.14,0.9,77.0,3.4,3,Moderate / Mid-Tier
Just Cause 3,XOne,2015,Action,Square Enix,0.44,0.39,0.0,0.08,0.9,71.0,7.0,3,Moderate / Mid-Tier
Crysis 3,X360,2013,Shooter,Electronic Arts,0.51,0.31,0.01,0.08,0.9,76.0,6.7,3,Moderate / Mid-Tier
LEGO Jurassic World,PS4,2015,Action,Warner Bros. Interactive Entertainment,0.32,0.42,0.02,0.14,0.9,70.0,7.0,3,Moderate / Mid-Tier
The Elder Scrolls Online,PC,2014,Role-Playing,Bethesda Softworks,0.32,0.51,0.0,0.07,0.9,71.0,5.7,3,Moderate / Mid-Tier
Madden NFL 25,PS4,2013,Sports,Electronic Arts,0.63,0.13,0.0,0.15,0.9,74.0,5.2,3,Moderate / Mid-Tier
LEGO Marvel Super Heroes,3DS,2013,Action,Warner Bros. Interactive Entertainment,0.42,0.36,0.04,0.07,0.9,61.0,5.2,3,Moderate / Mid-Tier
Far Cry: Primal,XOne,2016,Action,Ubisoft,0.47,0.33,0.0,0.08,0.88,77.0,6.4,3,Moderate / Mid-Tier
Borderlands: The Handsome Collection,PS4,2015,Shooter,Take-Two Interactive,0.38,0.33,0.03,0.14,0.88,82.0,7.8,3,Moderate / Mid-Tier
Crysis 3,PS3,2013,Shooter,Electronic Arts,0.26,0.42,0.03,0.16,0.87,77.0,6.3,3,Moderate / Mid-Tier
Guitar Hero Live,PS4,2015,Misc,Activision,0.34,0.38,0.0,0.14,0.86,80.0,6.2,3,Moderate / Mid-Tier
Wii Fit U,WiiU,2013,Sports,Nintendo,0.35,0.23,0.21,0.05,0.85,72.0,7.7,1,Low Sales / Niche
Xenoblade Chronicles X,WiiU,2015,Role-Playing,Nintendo,0.36,0.28,0.14,0.06,0.84,84.0,8.9,1,Low Sales / Niche
NCAA Football 14,PS3,2013,Sports,Electronic Arts,0.75,0.0,0.0,0.09,0.84,77.0,6.2,3,Moderate / Mid-Tier
Madden NFL 25,XOne,2013,Sports,Electronic Arts,0.67,0.05,0.0,0.08,0.81,73.0,5.9,1,Low Sales / Niche
Killzone: Mercenary,PSV,2013,Shooter,Sony Computer Entertainment Europe,0.2,0.39,0.04,0.17,0.8,78.0,8.9,3,Moderate / Mid-Tier
Final Fantasy X / X-2 HD Remaster,PSV,2013,Role-Playing,Square Enix,0.16,0.24,0.28,0.12,0.8,86.0,8.5,1,Low Sales / Niche
DmC: Devil May Cry,PS3,2013,Action,Capcom,0.24,0.26,0.19,0.1,0.79,85.0,5.3,1,Low Sales / Niche
Need for Speed Rivals,X360,2013,Racing,Electronic Arts,0.37,0.35,0.01,0.07,0.79,76.0,5.4,1,Low Sales / Niche
Pro Evolution Soccer 2016,PS4,2015,Sports,Konami Digital Entertainment,0.13,0.42,0.13,0.1,0.79,87.0,7.1,1,Low Sales / Niche
Rare Replay,XOne,2015,Misc,Microsoft Game Studios,0.49,0.22,0.01,0.07,0.79,84.0,7.7,1,Low Sales / Niche
WWE 2K15,PS3,2014,Sports,Take-Two Interactive,0.36,0.29,0.0,0.13,0.78,55.0,3.1,3,Moderate / Mid-Tier
Dead Island: Riptide,X360,2013,Action,Deep Silver,0.44,0.26,0.01,0.07,0.78,57.0,6.3,1,Low Sales / Niche
Aliens: Colonial Marines,X360,2013,Shooter,Sega,0.36,0.34,0.0,0.07,0.77,48.0,3.8,1,Low Sales / Niche
Bayonetta 2,WiiU,2014,Action,Nintendo,0.32,0.28,0.1,0.06,0.76,91.0,8.2,1,Low Sales / Niche
Professor Layton and the Azran Legacy,3DS,2013,Puzzle,Nintendo,0.0,0.48,0.25,0.03,0.75,81.0,7.9,1,Low Sales / Niche
Titanfall 2,PS4,2016,Shooter,Electronic Arts,0.34,0.25,0.05,0.12,0.75,89.0,8.4,1,Low Sales / Niche
Metal Gear Solid V: The Phantom Pain,XOne,2015,Action,Konami Digital Entertainment,0.41,0.26,0.01,0.07,0.75,95.0,7.3,1,Low Sales / Niche
Pro Evolution Soccer 2015,PS4,2014,Sports,Konami Digital Entertainment,0.09,0.45,0.11,0.1,0.75,82.0,7.2,1,Low Sales / Niche
Dark Souls II,X360,2014,Role-Playing,Namco Bandai Games,0.48,0.18,0.01,0.07,0.74,91.0,7.9,1,Low Sales / Niche
Resident Evil: Revelations,PS3,2013,Action,Capcom,0.14,0.29,0.22,0.09,0.74,74.0,7.2,1,Low Sales / Niche
MLB 13: The Show,PS3,2013,Sports,Sony Computer Entertainment,0.67,0.0,0.0,0.07,0.74,87.0,7.8,1,Low Sales / Niche
LEGO Marvel Super Heroes,WiiU,2013,Action,Warner Bros. Interactive Entertainment,0.31,0.35,0.02,0.06,0.74,82.0,8.0,1,Low Sales / Niche
Dragon Age: Inquisition,PC,2014,Role-Playing,Electronic Arts,0.33,0.34,0.0,0.06,0.73,85.0,5.9,1,Low Sales / Niche
LEGO Marvel's Avengers,PS4,2016,Action,Warner Bros. Interactive Entertainment,0.26,0.35,0.0,0.12,0.73,71.0,7.0,1,Low Sales / Niche
Just Dance 2015,WiiU,2014,Misc,Ubisoft,0.38,0.29,0.0,0.06,0.73,75.0,6.6,1,Low Sales / Niche
LEGO Dimensions,PS4,2015,Action,Warner Bros. Interactive Entertainment,0.24,0.37,0.0,0.12,0.73,80.0,7.1,1,Low Sales / Niche
Total War: Rome II,PC,2013,Strategy,Sega,0.12,0.53,0.0,0.07,0.72,76.0,4.2,1,Low Sales / Niche
Persona Q: Shadow of the Labyrinth,3DS,2014,Role-Playing,Nippon Ichi Software,0.34,0.07,0.27,0.04,0.72,83.0,8.1,1,Low Sales / Niche
MLB 14: The Show,PS4,2014,Sports,Sony Computer Entertainment America,0.58,0.0,0.0,0.14,0.72,83.0,7.7,1,Low Sales / Niche
Borderlands: The Pre-Sequel,X360,2014,Shooter,Take-Two Interactive,0.46,0.19,0.01,0.07,0.72,74.0,6.4,1,Low Sales / Niche
The Witcher 3: Wild Hunt,PC,2015,Role-Playing,Namco Bandai Games,0.21,0.46,0.0,0.05,0.72,93.0,9.3,1,Low Sales / Niche
Dragon Ball: Xenoverse 2,PS4,2016,Action,Namco Bandai Games,0.24,0.27,0.09,0.1,0.71,73.0,7.8,1,Low Sales / Niche
Skylanders: Trap Team,WiiU,2014,Action,Activision,0.38,0.26,0.0,0.06,0.7,86.0,7.1,1,Low Sales / Niche
Lego Star Wars: The Force Awakens,PS4,2016,Action,Warner Bros. Interactive Entertainment,0.16,0.43,0.01,0.11,0.7,78.0,7.5,1,Low Sales / Niche
Plants vs. Zombies: Garden Warfare,XOne,2014,Shooter,Electronic Arts,0.39,0.23,0.0,0.06,0.69,76.0,7.4,1,Low Sales / Niche
Need for Speed Rivals,XOne,2013,Racing,Electronic Arts,0.46,0.17,0.0,0.07,0.69,75.0,5.8,1,Low Sales / Niche
Sniper Elite 3,PS4,2014,Shooter,505 Games,0.24,0.34,0.0,0.11,0.68,67.0,7.1,1,Low Sales / Niche
Wolfenstein: The New Order,XOne,2014,Shooter,Bethesda Softworks,0.34,0.28,0.0,0.06,0.68,79.0,7.8,1,Low Sales / Niche
The Evil Within,XOne,2014,Action,Bethesda Softworks,0.35,0.25,0.0,0.06,0.67,79.0,7.3,1,Low Sales / Niche
The LEGO Movie Videogame,PS4,2014,Action,Warner Bros. Interactive Entertainment,0.24,0.31,0.01,0.11,0.67,71.0,7.1,1,Low Sales / Niche
Terraria,X360,2013,Action,505 Games,0.35,0.27,0.0,0.06,0.67,81.0,7.2,1,Low Sales / Niche
F1 2015,PS4,2015,Racing,Codemasters,0.09,0.45,0.03,0.1,0.66,65.0,6.3,1,Low Sales / Niche
Rayman Legends,WiiU,2013,Platform,Ubisoft,0.25,0.33,0.03,0.05,0.66,92.0,8.7,1,Low Sales / Niche
BioShock Infinite,PC,2013,Shooter,Take-Two Interactive,0.29,0.3,0.0,0.07,0.66,94.0,8.5,1,Low Sales / Niche
One Piece: Pirate Warriors 2,PS3,2013,Action,Namco Bandai Games,0.0,0.19,0.42,0.05,0.66,71.0,7.8,2,High Sales / Hit
LEGO Jurassic World,XOne,2015,Action,Warner Bros. Interactive Entertainment,0.38,0.22,0.0,0.06,0.65,70.0,6.7,1,Low Sales / Niche
Freedom Wars,PSV,2014,Role-Playing,Sony Computer Entertainment,0.15,0.1,0.32,0.08,0.65,73.0,8.3,1,Low Sales / Niche
Farming Simulator 17,PC,2016,Simulation,Focus Home Interactive,0.03,0.58,0.0,0.04,0.65,64.0,8.0,1,Low Sales / Niche
Borderlands 2,PSV,2014,Shooter,Take-Two Interactive,0.32,0.16,0.01,0.15,0.64,64.0,7.6,1,Low Sales / Niche
Assassin's Creed IV: Black Flag,PC,2013,Action,Ubisoft,0.22,0.38,0.0,0.05,0.64,84.0,7.7,1,Low Sales / Niche
The LEGO Movie Videogame,WiiU,2014,Action,Warner Bros. Interactive Entertainment,0.33,0.23,0.03,0.05,0.64,68.0,7.7,1,Low Sales / Niche
WWE 2K15,X360,2014,Sports,Take-Two Interactive,0.38,0.2,0.0,0.06,0.64,50.0,4.0,1,Low Sales / Niche
Football Manager 2014,PC,2013,Sports,Sega,0.0,0.6,0.0,0.03,0.64,85.0,5.5,1,Low Sales / Niche
Dishonored 2,PS4,2016,Action,Bethesda Softworks,0.22,0.32,0.0,0.1,0.64,88.0,7.7,1,Low Sales / Niche
The Crew,XOne,2014,Racing,Ubisoft,0.25,0.34,0.0,0.05,0.64,64.0,5.9,1,Low Sales / Niche
Evolve,XOne,2015,Shooter,Take-Two Interactive,0.37,0.2,0.0,0.06,0.64,74.0,5.1,1,Low Sales / Niche
Far Cry 4,PC,2014,Shooter,Ubisoft,0.15,0.44,0.0,0.04,0.63,80.0,6.7,1,Low Sales / Niche
The Walking Dead: Survival Instinct,X360,2013,Shooter,Activision,0.46,0.11,0.0,0.05,0.63,32.0,4.0,1,Low Sales / Niche
Crysis 3,PC,2013,Shooter,Electronic Arts,0.17,0.39,0.0,0.07,0.63,76.0,6.5,1,Low Sales / Niche
NHL 16,PS4,2015,Sports,Electronic Arts,0.36,0.16,0.0,0.11,0.63,78.0,5.5,1,Low Sales / Niche
Mafia III,XOne,2016,Action,Take-Two Interactive,0.28,0.29,0.0,0.05,0.62,67.0,4.6,1,Low Sales / Niche
2014 FIFA World Cup Brazil,PS3,2014,Sports,Electronic Arts,0.15,0.36,0.01,0.09,0.61,73.0,4.3,1,Low Sales / Niche
Plants vs. Zombies: Garden Warfare,PS4,2014,Shooter,Electronic Arts,0.21,0.29,0.01,0.1,0.61,75.0,7.6,1,Low Sales / Niche
Tearaway,PSV,2013,Adventure,Sony Computer Entertainment Europe,0.14,0.34,0.0,0.14,0.61,87.0,8.9,1,Low Sales / Niche
Borderlands: The Pre-Sequel,PS3,2014,Shooter,Take-Two Interactive,0.26,0.21,0.05,0.1,0.61,77.0,6.3,1,Low Sales / Niche
Aliens: Colonial Marines,PS3,2013,Shooter,Sega,0.2,0.29,0.0,0.11,0.6,43.0,3.6,1,Low Sales / Niche
Dead Island: Riptide,PS3,2013,Action,Deep Silver,0.26,0.19,0.07,0.09,0.6,62.0,5.9,1,Low Sales / Niche
Kinect Sports Rivals,XOne,2014,Sports,Microsoft Game Studios,0.3,0.23,0.02,0.05,0.6,60.0,5.1,1,Low Sales / Niche
Dynasty Warriors 8,PS3,2013,Action,Tecmo Koei,0.12,0.1,0.34,0.05,0.6,68.0,8.5,1,Low Sales / Niche
Disney Infinity,WiiU,2013,Action,Disney Interactive Studios,0.33,0.22,0.0,0.05,0.6,71.0,7.6,1,Low Sales / Niche
LEGO The Hobbit,PS4,2014,Action,Warner Bros. Interactive Entertainment,0.13,0.38,0.0,0.09,0.6,72.0,6.6,1,Low Sales / Niche
WWE 2K17,PS4,2016,Sports,Take-Two Interactive,0.17,0.34,0.0,0.09,0.6,69.0,6.9,1,Low Sales / Niche
Just Dance 2014,WiiU,2013,Misc,Ubisoft,0.31,0.23,0.0,0.05,0.6,72.0,7.6,1,Low Sales / Niche
NHL 15,PS4,2014,Sports,Electronic Arts,0.31,0.19,0.0,0.1,0.6,60.0,3.6,1,Low Sales / Niche
WWE 2K16,XOne,2015,Sports,Take-Two Interactive,0.32,0.22,0.0,0.05,0.59,72.0,5.7,1,Low Sales / Niche
Metal Gear Solid V: Ground Zeroes,PS3,2014,Action,Konami Digital Entertainment,0.14,0.12,0.27,0.05,0.59,66.0,5.9,1,Low Sales / Niche
Skylanders SWAP Force,WiiU,2013,Platform,Activision,0.38,0.15,0.0,0.05,0.58,89.0,6.0,1,Low Sales / Niche
Shin Megami Tensei IV,3DS,2013,Role-Playing,Atlus,0.28,0.0,0.27,0.03,0.58,83.0,8.3,1,Low Sales / Niche
JoJo's Bizarre Adventure: All Star Battle,PS3,2013,Fighting,Namco Bandai Games,0.05,0.02,0.5,0.01,0.58,71.0,8.3,2,High Sales / Hit
Rayman Legends,PS3,2013,Platform,Ubisoft,0.14,0.34,0.0,0.1,0.58,91.0,8.7,1,Low Sales / Niche
Payday 2,X360,2013,Shooter,505 Games,0.33,0.19,0.0,0.05,0.57,75.0,6.3,1,Low Sales / Niche
Titanfall 2,XOne,2016,Shooter,Electronic Arts,0.37,0.15,0.0,0.05,0.57,87.0,8.0,1,Low Sales / Niche
WWE 2K15,XOne,2014,Sports,Take-Two Interactive,0.29,0.23,0.0,0.05,0.57,56.0,5.7,1,Low Sales / Niche
Defiance,X360,2013,Shooter,Trion Worlds,0.38,0.14,0.0,0.05,0.57,60.0,7.2,1,Low Sales / Niche
Just Dance 2016,WiiU,2015,Misc,Ubisoft,0.27,0.25,0.0,0.05,0.57,73.0,6.9,1,Low Sales / Niche
Titanfall,PC,2014,Shooter,Electronic Arts,0.22,0.3,0.0,0.04,0.56,86.0,6.2,1,Low Sales / Niche
Quantum Break,XOne,2016,Action,Microsoft Game Studios,0.3,0.2,0.01,0.05,0.56,77.0,6.8,1,Low Sales / Niche
Guitar Hero Live,XOne,2015,Misc,Activision,0.3,0.2,0.0,0.05,0.55,81.0,5.1,1,Low Sales / Niche
Resident Evil: Revelations 2,PS4,2015,Action,Capcom,0.13,0.24,0.1,0.07,0.55,75.0,7.7,1,Low Sales / Niche
Assassin's Creed: Unity,PC,2014,Action,Ubisoft,0.18,0.33,0.0,0.04,0.55,70.0,3.0,1,Low Sales / Niche
Sly Cooper: Thieves in Time,PS3,2013,Platform,Sony Computer Entertainment Europe,0.35,0.12,0.0,0.08,0.54,75.0,8.3,1,Low Sales / Niche
NHL 14,PS3,2013,Sports,Electronic Arts,0.28,0.17,0.0,0.09,0.54,80.0,6.0,1,Low Sales / Niche
F1 2013,PS3,2013,Racing,Codemasters,0.01,0.42,0.03,0.09,0.54,77.0,6.3,1,Low Sales / Niche
Final Fantasy Explorers,3DS,2014,Role-Playing,Square Enix,0.16,0.07,0.28,0.02,0.54,69.0,7.0,1,Low Sales / Niche
NHL 14,X360,2013,Sports,Electronic Arts,0.4,0.09,0.0,0.05,0.54,81.0,5.9,1,Low Sales / Niche
LEGO Dimensions,WiiU,2015,Action,Warner Bros. Interactive Entertainment,0.3,0.18,0.0,0.05,0.53,62.0,6.5,1,Low Sales / Niche
Dragon's Crown,PS3,2013,Role-Playing,Nippon Ichi Software,0.25,0.07,0.17,0.05,0.53,82.0,8.3,1,Low Sales / Niche
Just Dance 2015,XOne,2014,Misc,Ubisoft,0.35,0.13,0.0,0.05,0.53,70.0,7.5,1,Low Sales / Niche
The LEGO Movie Videogame,XOne,2014,Action,Warner Bros. Interactive Entertainment,0.35,0.13,0.0,0.05,0.53,69.0,6.9,1,Low Sales / Niche
Overwatch,PC,2016,Shooter,Activision,0.25,0.24,0.0,0.04,0.53,91.0,6.8,1,Low Sales / Niche
StarCraft II: Legacy of the Void,PC,2015,Strategy,Activision,0.19,0.29,0.0,0.04,0.53,88.0,8.3,1,Low Sales / Niche
LEGO Jurassic World,WiiU,2015,Action,Warner Bros. Interactive Entertainment,0.27,0.19,0.02,0.04,0.52,71.0,8.1,1,Low Sales / Niche
Rory McIlroy PGA Tour,PS4,2015,Action,Electronic Arts,0.18,0.25,0.0,0.08,0.52,61.0,3.7,1,Low Sales / Niche
Lords of the Fallen,PS4,2014,Role-Playing,Square Enix,0.18,0.24,0.02,0.08,0.52,68.0,6.6,1,Low Sales / Niche
Kirby and the Rainbow Curse,WiiU,2015,Platform,Nintendo,0.22,0.13,0.12,0.04,0.52,73.0,8.0,1,Low Sales / Niche
Soul Sacrifice,PSV,2013,Role-Playing,Sony Computer Entertainment,0.15,0.08,0.22,0.06,0.51,77.0,8.2,1,Low Sales / Niche
The Walking Dead: Survival Instinct,PS3,2013,Shooter,Activision,0.28,0.15,0.0,0.08,0.51,34.0,3.6,1,Low Sales / Niche
Alien: Isolation,XOne,2014,Shooter,Sega,0.22,0.24,0.0,0.04,0.51,78.0,7.8,1,Low Sales / Niche
Naruto Shippuden: Ultimate Ninja Storm 3,X360,2013,Fighting,Namco Bandai Games,0.29,0.16,0.01,0.05,0.51,70.0,7.7,1,Low Sales / Niche
Sonic Lost World,3DS,2013,Platform,Sega,0.24,0.14,0.07,0.03,0.49,59.0,6.5,1,Low Sales / Niche
Plants vs. Zombies: Garden Warfare 2,PS4,2016,Shooter,Electronic Arts,0.2,0.21,0.0,0.08,0.49,81.0,7.7,1,Low Sales / Niche
Pokemon Art Academy ,3DS,2014,Misc,Nintendo,0.18,0.12,0.16,0.03,0.49,76.0,7.7,1,Low Sales / Niche
Bravely Second: End Layer,3DS,2015,Role-Playing,Nintendo,0.17,0.1,0.18,0.03,0.49,81.0,7.4,1,Low Sales / Niche
Skylanders: SuperChargers,WiiU,2015,Action,Activision,0.25,0.19,0.0,0.04,0.48,87.0,5.6,1,Low Sales / Niche
Plants vs. Zombies: Garden Warfare 2,XOne,2016,Shooter,Electronic Arts,0.29,0.15,0.0,0.04,0.48,80.0,8.1,1,Low Sales / Niche
Mario Golf: World Tour,3DS,2014,Sports,Nintendo,0.15,0.13,0.17,0.03,0.48,78.0,8.2,1,Low Sales / Niche
Metal Gear Rising: Revengeance,X360,2013,Action,Konami Digital Entertainment,0.3,0.14,0.0,0.04,0.48,82.0,7.8,1,Low Sales / Niche
NHL 16,XOne,2015,Sports,Electronic Arts,0.38,0.05,0.0,0.05,0.48,80.0,6.0,1,Low Sales / Niche
Rock Band 4,XOne,2015,Misc,Harmonix Music Systems,0.38,0.04,0.0,0.05,0.47,79.0,6.4,1,Low Sales / Niche
World of Warcraft: Warlords of Draenor,PC,2014,Action,Activision Blizzard,0.08,0.36,0.0,0.03,0.47,87.0,5.9,1,Low Sales / Niche
EA Sports UFC,XOne,2014,Sports,Electronic Arts,0.3,0.12,0.0,0.04,0.47,70.0,6.3,1,Low Sales / Niche
One Piece: Pirate Warriors 3,PS4,2015,Action,Namco Bandai Games,0.09,0.22,0.1,0.06,0.46,74.0,7.4,1,Low Sales / Niche
Football Manager 2015,PC,2014,Simulation,Sega,0.0,0.44,0.0,0.03,0.46,80.0,6.0,1,Low Sales / Niche
Just Dance 2014,XOne,2013,Misc,Ubisoft,0.3,0.11,0.0,0.04,0.45,71.0,7.0,1,Low Sales / Niche
LEGO The Hobbit,X360,2014,Action,Warner Bros. Interactive Entertainment,0.2,0.21,0.0,0.04,0.45,70.0,8.7,1,Low Sales / Niche
Pro Evolution Soccer 2017,PS4,2016,Sports,Konami Digital Entertainment,0.02,0.27,0.11,0.05,0.45,85.0,7.6,1,Low Sales / Niche
Wolfenstein: The New Order,PC,2014,Shooter,Bethesda Softworks,0.13,0.29,0.0,0.03,0.45,81.0,8.2,1,Low Sales / Niche
Deadpool,PS3,2013,Action,Activision,0.23,0.14,0.0,0.08,0.45,61.0,7.2,1,Low Sales / Niche
Watch Dogs,PC,2014,Action,Ubisoft,0.15,0.26,0.0,0.03,0.45,77.0,4.7,1,Low Sales / Niche
Mario Tennis Ultra Smash,WiiU,2015,Sports,Nintendo,0.13,0.15,0.14,0.02,0.44,58.0,5.3,1,Low Sales / Niche
Skylanders: Trap Team,PS4,2014,Action,Activision,0.19,0.18,0.0,0.07,0.44,78.0,5.6,1,Low Sales / Niche
DmC: Devil May Cry,X360,2013,Action,Capcom,0.26,0.12,0.01,0.04,0.44,86.0,5.1,1,Low Sales / Niche
Borderlands: The Handsome Collection,XOne,2015,Shooter,Take-Two Interactive,0.26,0.13,0.0,0.04,0.43,80.0,7.8,1,Low Sales / Niche
Naruto Shippuden: Ultimate Ninja Storm Revolution,PS3,2014,Fighting,Namco Bandai Games,0.15,0.14,0.09,0.06,0.43,73.0,7.5,1,Low Sales / Niche
Deadpool,X360,2013,Action,Activision,0.26,0.13,0.0,0.04,0.43,62.0,7.4,1,Low Sales / Niche
Lego Batman 3: Beyond Gotham,XOne,2014,Action,Warner Bros. Interactive Entertainment,0.23,0.17,0.0,0.04,0.43,74.0,7.1,1,Low Sales / Niche
MLB 14: The Show,PS3,2014,Sports,Sony Computer Entertainment America,0.35,0.0,0.0,0.08,0.43,81.0,6.8,1,Low Sales / Niche
Payday 2,PS3,2013,Shooter,505 Games,0.22,0.14,0.0,0.08,0.43,74.0,6.2,1,Low Sales / Niche
Hometown Story,3DS,2013,Role-Playing,Rising Star Games,0.23,0.12,0.04,0.04,0.43,47.0,6.0,1,Low Sales / Niche
Wolfenstein: The Old Blood,PS4,2015,Action,Bethesda Softworks,0.1,0.25,0.02,0.06,0.43,76.0,8.0,1,Low Sales / Niche
Rayman Legends,X360,2013,Platform,Ubisoft,0.19,0.2,0.0,0.04,0.43,90.0,8.2,1,Low Sales / Niche
2014 FIFA World Cup Brazil,X360,2014,Sports,Electronic Arts,0.15,0.25,0.0,0.03,0.42,74.0,4.4,1,Low Sales / Niche
Batman: Arkham Origins Blackgate,PSV,2013,Action,Warner Bros. Interactive Entertainment,0.16,0.17,0.0,0.1,0.42,61.0,6.8,1,Low Sales / Niche
Trials Fusion,PS4,2014,Racing,Ubisoft,0.13,0.22,0.01,0.07,0.42,79.0,7.2,1,Low Sales / Niche
Story of Seasons,3DS,2014,Simulation,Nintendo,0.0,0.14,0.27,0.01,0.42,76.0,8.2,1,Low Sales / Niche
Metro: Last Light,PS3,2013,Action,Deep Silver,0.14,0.18,0.03,0.07,0.42,80.0,8.2,1,Low Sales / Niche
Paper Mario: Color Splash,WiiU,2016,Role-Playing,Nintendo,0.2,0.14,0.05,0.03,0.42,75.0,6.8,1,Low Sales / Niche
Attack on Titan: Humanity in Chains,3DS,2013,Action,Screenlife,0.0,0.0,0.42,0.0,0.42,46.0,4.5,2,High Sales / Hit
Animal Crossing: Amiibo Festival,WiiU,2015,Misc,Nintendo,0.19,0.11,0.09,0.03,0.41,46.0,4.4,1,Low Sales / Niche
Just Dance 2014,PS4,2013,Misc,Ubisoft,0.19,0.16,0.0,0.07,0.41,75.0,5.5,1,Low Sales / Niche
EA Sports UFC 2,XOne,2016,Sports,Electronic Arts,0.24,0.14,0.0,0.04,0.41,76.0,6.0,1,Low Sales / Niche
Farming Simulator 17,PS4,2016,Simulation,Focus Home Interactive,0.05,0.31,0.0,0.06,0.41,69.0,8.7,1,Low Sales / Niche
Terraria,PS3,2013,Action,505 Games,0.07,0.2,0.09,0.05,0.41,81.0,7.9,1,Low Sales / Niche
LEGO Dimensions,XOne,2015,Action,Warner Bros. Interactive Entertainment,0.22,0.15,0.0,0.04,0.41,80.0,6.9,1,Low Sales / Niche
NHL 15,XOne,2014,Sports,Electronic Arts,0.31,0.06,0.0,0.04,0.41,59.0,3.2,1,Low Sales / Niche
Tom Clancy's The Division,PC,2016,Shooter,Ubisoft,0.22,0.15,0.0,0.04,0.41,79.0,5.8,1,Low Sales / Niche
F1 2014,PS3,2014,Racing,Codemasters,0.07,0.26,0.02,0.06,0.41,62.0,4.1,1,Low Sales / Niche
Call of Duty: Advanced Warfare,PC,2014,Shooter,Activision,0.15,0.23,0.0,0.03,0.41,78.0,4.5,1,Low Sales / Niche
Tales of Zestiria,PS4,2015,Role-Playing,Namco Bandai Games,0.17,0.15,0.02,0.06,0.4,72.0,6.8,1,Low Sales / Niche
Metal Gear Solid: The Legacy Collection,PS3,2013,Adventure,Konami Digital Entertainment,0.31,0.01,0.03,0.06,0.4,93.0,9.0,1,Low Sales / Niche
Life is Strange,PS4,2016,Adventure,Square Enix,0.15,0.15,0.03,0.06,0.4,85.0,8.6,1,Low Sales / Niche
